"name","sciname","iucn_sid","category","stat_score","year"
"pacific golden plover","pluvialis fulva",22693735,"LC",1,2020
"peppered moray eel","gymnothorax pictus",195775,"LC",1,2020
"blotch-eye soldier firsh","myripristis murdjan",67871036,"LC",1,2020
"bullethead parrotfish","chlorurus sordidus",190715,"LC",1,2020
"giant squirrelfish","sargocentron spiniferum",67903042,"LC",1,2020
"moorish idol","zanclus cornutus",69741115,"LC",1,2020
"goldlined emperor","gnathodentex aureolineatus",16719296,"LC",1,2020
"milk fish","chanos chanos",60324,"LC",1,2020
"giant jack","caranx ignobilis",20430651,"LC",1,2020
"silver squirrelfish","neoniphon argenteus",67871143,"LC",1,2020
"giant moray","gymnothorax javanicus",195741,"LC",1,2020
"blackblotch lizardfish","synodus jaculum",67853451,"LC",1,2020
"helmet gurnard","dactyloptena orientalis",50903234,"LC",1,2020
"yellowstripe goatfish","mulloidichthys flavolineatus",50903119,"LC",1,2020
"barred jack","carangoides ferdau",20429455,"LC",1,2020
"yellow-margined snapper","lutjanus fulvus",194377,"LC",1,2020
"dot-dashed goatfish","parupeneus barberinus",69181941,"LC",1,2020
"blacktip reef shark","carcharhinus melanopterus",39375,"NT",0.8,2020
"leatherback turtle","dermochelys coriacea",46967807,"CR",0.2,2020
"coconut crab","birgus latro",2811,"DD",NA,2020
"day octopus","octopus cyanea",163055,"LC",1,2020
"clam","tridacna maxima",22138,"LR/cd",0.9,2020
"olive ridley sea turtle","lepidochelys olivacea",11534,"VU",0.6,2020
"twospined angelfish","centropyge bispinosa",165871,"LC",1,2020
"lemonpeel angelfish","centropyge flavissima",165878,"LC",1,2020
"multicolor angelfish","centropyge multicolor",165896,"LC",1,2020
"yellow angelfish","centropyge heraldi",165848,"LC",1,2020
"royal angelfish","pygoplites diacanthus",165885,"LC",1,2020
"ornate angelfish","genicanthus bellus",165864,"LC",1,2020
"blackedged angelfish","genicanthus watanabei",165872,"LC",1,2020
"hawaiian flame angelfish","centropyge fisheri",165828,"LC",1,2020
"emperor angelfish","pomacanthus imperator",165862,"LC",1,2020
"barred angelfish","paracentropyge multifasciata",165852,"LC",1,2020
"flame angel","centropyge loricula",155308,"LC",1,2020
"giant herring","elops hawaiensis",194307,"DD",NA,2020
NA,"albula argentea",194298,"DD",NA,2020
"saddle-back butterflyfish","chaetodon ephippium",165681,"LC",1,2020
"dusky butterflyfish","chaetodon flavirostris",165688,"LC",1,2020
"threadfin butterflyfish","chaetodon auriga",165631,"LC",1,2020
"decorated butterflyfish","chaetodon semeion",165725,"LC",1,2020
"lined butterflyfish","chaetodon lineolatus",165669,"LC",1,2020
"speckled butterflyfish","chaetodon citrinellus",165668,"LC",1,2020
"triangulate butterflyfish","chaetodon trifascialis",165712,"NT",0.8,2020
"neonbanded butterflyfish","chaetodon quadrimaculatus",165678,"LC",1,2020
"unicorn pennant coralfish","heniochus monoceros",165650,"LC",1,2020
"black long-nosed butterflyfish","forcipiger longirostris",165667,"LC",1,2020
"thompson's butterflyfish","hemitaurichthys thompsoni",154788,"LC",1,2020
"threeband pennantfish","heniochus chrysostomus",165640,"LC",1,2020
"bluelashed butterflyfish","chaetodon bennetti",165686,"DD",NA,2020
"brushytoothed butterflyfish","hemitaurichthys polylepis",165672,"LC",1,2020
"redstriped butterflyfish","chaetodon lunula",165651,"LC",1,2020
"ornate butterflyfish","chaetodon ornatissimus",165641,"LC",1,2020
"reticulated butterflyfish","chaetodon reticulatus",165713,"DD",NA,2020
"orangebar butterflyfish","chaetodon mertensii",165615,"LC",1,2020
"tahitian butterflyfish","chaetodon trichrous",165679,"LC",1,2020
"pacific pinstriped butterflyfish","chaetodon lunulatus",165704,"LC",1,2020
"hunchbacked coralfish","heniochus varius",165652,"LC",1,2020
"pacific double-saddled butterflyfish","chaetodon ulietensis",165665,"LC",1,2020
"big long-nosed butterflyfish","forcipiger flavissimus",165716,"LC",1,2020
"teardrop butterfly fish","chaetodon unimaculatus",165714,"LC",1,2020
"raffle's butterflyfish","chaetodon rafflesii",165680,"LC",1,2020
"criss-cross butterflyfish","chaetodon vagabundus",165630,"LC",1,2020
"pennant coral fish","heniochus acuminatus",165626,"LC",1,2020
"dot-and-dash butterflyfish","chaetodon pelewensis",165653,"LC",1,2020
"pygmy shark","euprotomicrus bispinatus",60210,"LC",1,2020
"scalloped hammerhead","sphyrna lewini",39385,"EN",0.4,2020
"grey reef shark","carcharhinus amblyrhynchos",39365,"NT",0.8,2020
"blue shark","prionace glauca",39381,"NT",0.8,2020
"sharptooth lemon shark","negaprion acutidens",41836,"VU",0.6,2020
"pelagic thresher","alopias pelagicus",161597,"VU",0.6,2020
"spotted eagle ray","aetobatus narinari",39415,"NT",0.8,2020
"bull shark","carcharhinus leucas",39372,"NT",0.8,2020
"white shark","carcharodon carcharias",3855,"VU",0.6,2020
"spotted eagle ray","aetobatus ocellatus",42566169,"VU",0.6,2020
"whitetip reef shark","triaenodon obesus",39384,"NT",0.8,2020
"common thresher","alopias vulpinus",39339,"VU",0.6,2020
"tawny nurse shark","nebrius ferrugineus",41835,"VU",0.6,2020
"longtail butterfly ray","gymnura poecilura",60117,"NT",0.8,2020
"great hammerhead","sphyrna mokarran",39386,"EN",0.4,2020
"longfin mako","isurus paucus",60225,"EN",0.4,2020
"crocodile shark","pseudocarcharias kamoharai",39337,"LC",1,2020
"tiger shark","galeocerdo cuvier",39378,"NT",0.8,2020
"pelagic stingray","pteroplatytrygon violacea",161731,"LC",1,2020
"megamouth shark","megachasma pelagios",39338,"LC",1,2020
"shortfin mako","isurus oxyrinchus",39341,"EN",0.4,2020
"reef manta ray","mobula alfredi",195459,"VU",0.6,2020
"silvertip shark","carcharhinus albimarginatus",161526,"VU",0.6,2020
"blacktip shark","carcharhinus limbatus",3851,"NT",0.8,2020
"silky shark","carcharhinus falciformis",39370,"VU",0.6,2020
"galapagos shark","carcharhinus galapagensis",41736,"NT",0.8,2020
"giant manta ray","mobula birostris",198921,"VU",0.6,2020
"whale shark","rhincodon typus",19488,"EN",0.4,2020
"oceanic whitetip shark","carcharhinus longimanus",39374,"VU",0.6,2020
"buccaneer anchovy","encrasicholina punctifer",75155303,"LC",1,2020
NA,"praealticus caesius",48342229,"LC",1,2020
"seale's blenny","entomacrodus sealei",48342326,"LC",1,2020
"picture rockskipper","blenniella gibbifrons",48342422,"LC",1,2020
"orange-spotted blenny","blenniella chrysospilos",48342115,"LC",1,2020
"white-spotted triplefin","enneapterygius triserialis",178963,"LC",1,2020
"blacktail triplefin","enneapterygius nigricauda",179062,"LC",1,2020
"dusky spotted blenny","cirripectes fuscoguttatus",48342117,"LC",1,2020
"black blenny","atrosalarias fuscus",48342246,"LC",1,2020
"wavyline rockskipper","entomacrodus decussatus",48342389,"LC",1,2020
"cleaner mimic","aspidontus taeniatus",48342346,"LC",1,2020
NA,"atrosalarias holomelas",48342444,"LC",1,2020
"dussumier's blenny","aspidontus dussumieri",48342525,"LC",1,2020
"banded fringe blenny","cirripectes variolosus",48342402,"LC",1,2020
"blackbelly triplefin","enneapterygius fuscoventer",178913,"LC",1,2020
"pacific blue-spotted blenny","blenniella caudolineata",48342489,"LC",1,2020
"black blenny","enchelyurus ater",48342160,"LC",1,2020
"bartail blenny","entomacrodus caudofasciatus",48342521,"LC",1,2020
"thomas' triplefin","norfolkia thomasi",179043,"LC",1,2020
"umpire triplefin","enneapterygius rhabdotus",178889,"LC",1,2020
"high hat triplefin","enneapterygius tutuilae",178932,"LC",1,2020
"little hooded triplefin","helcogramma chica",179109,"LC",1,2020
NA,"cirripectes jenningsi",48342306,"LC",1,2020
"blue-dashed rockskipper","blenniella paula",48342126,"LC",1,2020
"reef margin blenny","entomacrodus thalassinus",48342265,"LC",1,2020
"leaping rockskipper","alticus arnoldorum",48321090,"LC",1,2020
"seychelles blenny","stanulus seychellensis",48342292,"LC",1,2020
"smoothlipped blenny","istiblennius edentulus",46079801,"LC",1,2020
"leopard blenny","exallias brevis",48342137,"LC",1,2020
"pyramid triplefin","enneapterygius pyramis",178957,"LC",1,2020
"zebra blenny","cirripectes quagga",48342428,"LC",1,2020
"black-lined blenny","istiblennius lineatus",48342321,"LC",1,2020
"bluestriped fangblenny","plagiotremus rhinorhynchos",48342477,"LC",1,2020
"piano fangblenny","plagiotremus tapeinosoma",48342366,"LC",1,2020
"blackspotted rockskipper","entomacrodus striatus",48342213,"LC",1,2020
"bearded sabretooth blenny","petroscirtes xestus",48342309,"LC",1,2020
NA,"conus planorbis",192811,"LC",1,2020
NA,"conus miles",192634,"LC",1,2020
NA,"conus coronatus",192636,"LC",1,2020
"flea cone","conus pulicarius",192506,"LC",1,2020
NA,"conus lividus",192844,"LC",1,2020
NA,"conus pertusus",192879,"LC",1,2020
NA,"conus ebraeus",192611,"LC",1,2020
NA,"conus auricomus",192815,"LC",1,2020
NA,"conus acutangulus",192704,"LC",1,2020
"bubble cone","conus bullatus",192297,"LC",1,2020
NA,"conus sanguinolentus",192296,"LC",1,2020
NA,"conus muriculatus",192327,"LC",1,2020
NA,"conus bandanus",192587,"LC",1,2020
NA,"conus circumcisus",192829,"LC",1,2020
NA,"conus coffeae",192754,"LC",1,2020
NA,"conus mitratus",192567,"LC",1,2020
NA,"conus varius",192694,"LC",1,2020
NA,"conus legatus",192843,"LC",1,2020
NA,"conus tulipa",192789,"LC",1,2020
NA,"conus vexillum",192778,"LC",1,2020
NA,"conus quercinus",192812,"LC",1,2020
NA,"conus armadillo",192447,"LC",1,2020
NA,"conus obscurus",192424,"LC",1,2020
NA,"conus eburneus",192700,"LC",1,2020
NA,"conus aureus",192413,"LC",1,2020
NA,"conus rattus",192428,"LC",1,2020
NA,"conus retifer",192521,"LC",1,2020
NA,"conus imperialis",192593,"LC",1,2020
NA,"conus striatus",192321,"LC",1,2020
NA,"conus canonicus",192737,"LC",1,2020
NA,"conus textile",192316,"LC",1,2020
NA,"conus catus",192367,"LC",1,2020
NA,"conus nussatella",192318,"LC",1,2020
NA,"conus generalis",192460,"LC",1,2020
NA,"conus glans",192722,"LC",1,2020
NA,"conus moreleti",192564,"LC",1,2020
"yellow pacific cone","conus flavidus",192562,"LC",1,2020
NA,"conus tessulatus",192743,"LC",1,2020
NA,"conus tenuistriatus",192648,"LC",1,2020
NA,"conus episcopatus",192664,"LC",1,2020
"frigid cone","conus frigidus",192419,"LC",1,2020
"sponsal cone","conus sponsalis",192674,"LC",1,2020
NA,"conus virgo",192853,"LC",1,2020
"cylindrical cone","conus cylindraceus",192793,"LC",1,2020
"false virgin cone","conus emaciatus",192342,"LC",1,2020
NA,"conus distans",192305,"LC",1,2020
NA,"conus litteratus",192719,"LC",1,2020
NA,"conus terebra",192586,"LC",1,2020
"sand-dusted cone","conus arenatus",192870,"LC",1,2020
NA,"conus aulicus",192563,"LC",1,2020
NA,"conus geographus",192772,"LC",1,2020
NA,"conus ferrugineus",192538,"LC",1,2020
NA,"conus litoglyphus",192378,"LC",1,2020
NA,"conus magnificus",192573,"LC",1,2020
NA,"conus adamsonii",192848,"LC",1,2020
NA,"conus chaldaeus",192580,"LC",1,2020
NA,"conus leopardus",192386,"LC",1,2020
NA,"goniopora somaliensis",133378,"LC",1,2020
NA,"leptastrea transversa",133652,"LC",1,2020
NA,"montipora verrilli",133305,"DD",NA,2020
NA,"leptoseris mycetoseroides",133351,"LC",1,2020
NA,"leptoseris scabra",133091,"LC",1,2020
NA,"montipora informis",133066,"LC",1,2020
NA,"pavona cactus",133558,"VU",0.6,2020
NA,"acropora retusa",133115,"VU",0.6,2020
NA,"acropora tenuis",133020,"NT",0.8,2020
NA,"favia pallida",132936,"LC",1,2020
NA,"acropora clathrata",133207,"LC",1,2020
NA,"turbinaria frondens",133146,"LC",1,2020
NA,"pavona frondifera",133242,"LC",1,2020
NA,"acropora cytherea",133313,"LC",1,2020
NA,"acropora rambleri",132966,"DD",NA,2020
NA,"podabacia crustacea",133158,"LC",1,2020
NA,"fungia moluccensis",133437,"LC",1,2020
NA,"astreopora myriophthalma",133292,"LC",1,2020
NA,"montipora australiensis",133443,"VU",0.6,2020
NA,"leptoria phrygia",132980,"NT",0.8,2020
NA,"alveopora allingi",133332,"VU",0.6,2020
NA,"acropora inermis",133273,"DD",NA,2020
NA,"barabattoia laddi",133383,"VU",0.6,2020
NA,"psammocora nierstraszi",133094,"LC",1,2020
NA,"acropora nana",133698,"NT",0.8,2020
NA,"acropora samoensis",132998,"LC",1,2020
NA,"pachyseris speciosa",133410,"LC",1,2020
NA,"favia stelligera",133593,"NT",0.8,2020
"smooth cauliflower coral","stylophora pistillata",133685,"NT",0.8,2020
NA,"acropora speciosa",133338,"VU",0.6,2020
NA,"plerogyra sinuosa",133258,"NT",0.8,2020
NA,"goniastrea australensis",132883,"LC",1,2020
NA,"acropora glauca",133550,"NT",0.8,2020
NA,"acropora abrotanoides",133649,"LC",1,2020
NA,"favia rotumana",133029,"LC",1,2020
NA,"porites vaughani",133016,"LC",1,2020
NA,"pavona varians",133398,"LC",1,2020
NA,"psammocora haimeana",133406,"LC",1,2020
NA,"echinophyllia aspera",133172,"LC",1,2020
NA,"montipora angulata",132866,"VU",0.6,2020
NA,"acropora austera",133160,"NT",0.8,2020
NA,"pavona maldivensis",132911,"LC",1,2020
NA,"montipora venosa",133635,"NT",0.8,2020
"finger coral","acropora humilis",132992,"NT",0.8,2020
NA,"turbinaria reniformis",133697,"VU",0.6,2020
NA,"echinopora lamellosa",133088,"LC",1,2020
"head coral","favia favus",133569,"LC",1,2020
NA,"montipora floweri",133186,"LC",1,2020
NA,"acropora tortuosa",133252,"LC",1,2020
NA,"psammocora superficialis",133502,"LC",1,2020
NA,"acropora lutkeni",133303,"NT",0.8,2020
NA,"montipora spumosa",133556,"LC",1,2020
NA,"acropora striata",133291,"VU",0.6,2020
NA,"acropora latistella",133120,"LC",1,2020
NA,"merulina ampliata",133337,"LC",1,2020
NA,"montipora lobulata",133117,"VU",0.6,2020
NA,"stylocoeniella armata",133548,"LC",1,2020
NA,"madracis kirbyi",133380,"LC",1,2020
NA,"favites complanata",132979,"NT",0.8,2020
NA,"montipora turgescens",133298,"LC",1,2020
NA,"acropora nasuta",133239,"NT",0.8,2020
NA,"favites russelli",133343,"NT",0.8,2020
NA,"acropora elseyi",133010,"LC",1,2020
NA,"acropora gemmifera",133324,"LC",1,2020
NA,"montipora danae",133451,"LC",1,2020
NA,"fungia scutaria",133201,"LC",1,2020
NA,"porites lutea",133082,"LC",1,2020
NA,"montipora effusa",133031,"NT",0.8,2020
NA,"platygyra pini",133440,"LC",1,2020
NA,"fungia tenuis",133215,"LC",1,2020
NA,"montipora aequituberculata",133314,"LC",1,2020
NA,"astreopora randalli",133485,"LC",1,2020
NA,"mycedium elephantotus",133559,"LC",1,2020
NA,"acropora valida",133293,"LC",1,2020
NA,"cyphastrea chalcidicum",133325,"LC",1,2020
NA,"porites latistella",133546,"LC",1,2020
NA,"barabattoia amicorum",133084,"LC",1,2020
NA,"porites arnaudi",133187,"LC",1,2020
NA,"pocillopora woodjonesi",132923,"LC",1,2020
NA,"montipora caliculata",133220,"VU",0.6,2020
NA,"fungia sinensis",133299,"LC",1,2020
"brush coral","acropora hyacinthus",133479,"NT",0.8,2020
NA,"acropora vaughani",133025,"VU",0.6,2020
"elongate mushroom coral","fungia paumotensis",133673,"LC",1,2020
NA,"acropora sarmentosa",133271,"LC",1,2020
NA,"pocillopora eydouxi",133407,"NT",0.8,2020
NA,"pavona clavus",133240,"LC",1,2020
NA,"porites lobata",133216,"NT",0.8,2020
NA,"echinophyllia echinata",133058,"LC",1,2020
NA,"favia matthaii",133616,"NT",0.8,2020
"thin birdsnest coral","seriatopora hystrix",133390,"LC",1,2020
NA,"acropora granulosa",132948,"NT",0.8,2020
NA,"fungia repanda",132986,"LC",1,2020
"staghorn coral","acropora formosa",133644,"NT",0.8,2020
NA,"leptoseris solida",132903,"LC",1,2020
NA,"cyphastrea microphthalma",133648,"LC",1,2020
NA,"ctenactis echinata",133148,"LC",1,2020
NA,"fungia horrida",133423,"LC",1,2020
"firecoral","millepora platyphylla",133595,"LC",1,2020
"largebrain root coral","lobophyllia hemprichii",133419,"LC",1,2020
"common mushroom coral","fungia fungites",133503,"NT",0.8,2020
NA,"porites lichen",133023,"LC",1,2020
NA,"pavona duerdeni",133702,"LC",1,2020
NA,"acropora horrida",133319,"VU",0.6,2020
NA,"montipora verrucosa",133646,"LC",1,2020
NA,"favia speciosa",133210,"LC",1,2020
NA,"scolymia vitiensis",133157,"NT",0.8,2020
NA,"porites murrayensis",133105,"NT",0.8,2020
NA,"acropora nobilis",133266,"LC",1,2020
NA,"goniopora stutchburyi",133615,"LC",1,2020
NA,"porites solida",133613,"LC",1,2020
NA,"acropora paniculata",132972,"VU",0.6,2020
NA,"leptoseris incrustans",133539,"VU",0.6,2020
NA,"acropora longicyathus",132988,"LC",1,2020
NA,"ctenactis crassa",133110,"LC",1,2020
NA,"fungia scruposa",133308,"LC",1,2020
NA,"montipora foveolata",133438,"NT",0.8,2020
NA,"coscinaraea exesa",133176,"LC",1,2020
NA,"herpolitha limax",133538,"LC",1,2020
NA,"acropora microphthalma",133021,"LC",1,2020
NA,"montipora millepora",133015,"LC",1,2020
NA,"hydnophora microconos",133458,"NT",0.8,2020
"cauliflower coral","pocillopora damicornis",133222,"LC",1,2020
"brain coral","platygyra daedalea",133468,"LC",1,2020
NA,"turbinaria mesenterina",133633,"VU",0.6,2020
NA,"fungia concinna",133418,"LC",1,2020
NA,"echinopora gemmacea",132987,"LC",1,2020
NA,"leptastrea bottae",132983,"NT",0.8,2020
NA,"goniastrea aspera",133452,"LC",1,2020
NA,"platygyra sinensis",133068,"LC",1,2020
NA,"alveopora spongiosa",133482,"NT",0.8,2020
NA,"sandalolitha dentata",133587,"LC",1,2020
"distorted mushroom coral","fungia distorta",133371,"LC",1,2020
NA,"coscinaraea columna",133428,"LC",1,2020
NA,"montipora tuberculosa",133345,"LC",1,2020
NA,"montipora hoffmeisteri",133700,"LC",1,2020
NA,"acropora robusta",133248,"LC",1,2020
NA,"montipora hispida",133238,"LC",1,2020
NA,"goniastrea pectinata",133414,"LC",1,2020
NA,"favites flexuosa",133244,"NT",0.8,2020
NA,"leptastrea purpurea",133090,"LC",1,2020
NA,"fungia granulosa",133183,"LC",1,2020
NA,"gardineroseris planulata",132917,"LC",1,2020
NA,"acropora globiceps",133387,"VU",0.6,2020
NA,"psammocora profundacella",133570,"LC",1,2020
NA,"montipora efflorescens",133175,"NT",0.8,2020
NA,"pocillopora elegans",133099,"VU",0.6,2020
NA,"acropora secale",132888,"NT",0.8,2020
NA,"favites abdita",133290,"NT",0.8,2020
NA,"acropora carduus",132933,"NT",0.8,2020
NA,"pavona explanulata",133382,"LC",1,2020
NA,"psammocora contigua",133208,"NT",0.8,2020
NA,"fungia scabra",133179,"LC",1,2020
NA,"porites australiensis",133277,"LC",1,2020
NA,"alveopora verrilliana",133156,"VU",0.6,2020
NA,"cyphastrea serailia",133167,"LC",1,2020
NA,"acropora loripes",132976,"NT",0.8,2020
NA,"psammocora digitata",133043,"NT",0.8,2020
NA,"montipora foliosa",133071,"NT",0.8,2020
"cactus coral","pavona decussata",133041,"VU",0.6,2020
NA,"acropora digitifera",133250,"NT",0.8,2020
NA,"psammocora explanulata",133589,"LC",1,2020
NA,"galaxea fascicularis",133662,"NT",0.8,2020
NA,"leptoseris hawaiiensis",132885,"LC",1,2020
"brain root coral","lobophyllia corymbosa",133551,"LC",1,2020
"rasp coral","pocillopora verrucosa",133197,"LC",1,2020
NA,"acropora pulchra",133033,"LC",1,2020
NA,"goniopora minor",133607,"NT",0.8,2020
NA,"acanthastrea echinata",133246,"LC",1,2020
NA,"plesiastrea versipora",133284,"LC",1,2020
NA,"pavona bipartita",133360,"VU",0.6,2020
