sciname,pop_trend,trend_score,trend_source
pluvialis fulva,Decreasing,0,lm
gymnothorax pictus,Unknown,NA,NA
myripristis murdjan,Unknown,NA,NA
chlorurus sordidus,Unknown,0,lm
sargocentron spiniferum,Unknown,NA,NA
zanclus cornutus,Stable,NA,NA
gnathodentex aureolineatus,Unknown,NA,NA
chanos chanos,Unknown,0,lm
caranx ignobilis,Unknown,NA,NA
neoniphon argenteus,Unknown,NA,NA
gymnothorax javanicus,Unknown,NA,NA
synodus jaculum,Unknown,NA,NA
dactyloptena orientalis,Unknown,NA,NA
mulloidichthys flavolineatus,Stable,NA,NA
carangoides ferdau,Unknown,NA,NA
lutjanus fulvus,Unknown,NA,NA
parupeneus barberinus,Unknown,NA,NA
carcharhinus melanopterus,Decreasing,0,lm
dermochelys coriacea,Decreasing,-0.00394,lm
birgus latro,NA,NA,NA
octopus cyanea,Unknown,NA,NA
tridacna maxima,NA,NA,NA
lepidochelys olivacea,Decreasing,-0.00741,lm
centropyge bispinosa,Stable,NA,NA
centropyge flavissima,Stable,NA,NA
centropyge multicolor,Stable,NA,NA
centropyge heraldi,Stable,NA,NA
pygoplites diacanthus,Stable,NA,NA
genicanthus bellus,Stable,NA,NA
genicanthus watanabei,Stable,NA,NA
centropyge fisheri,Stable,NA,NA
pomacanthus imperator,Stable,NA,NA
paracentropyge multifasciata,Stable,NA,NA
centropyge loricula,Stable,NA,NA
elops hawaiensis,Unknown,NA,NA
albula argentea,Unknown,NA,NA
chaetodon ephippium,Stable,NA,NA
chaetodon flavirostris,Stable,NA,NA
chaetodon auriga,Decreasing,3e-4,regr
chaetodon semeion,Stable,NA,NA
chaetodon lineolatus,Stable,NA,NA
chaetodon citrinellus,Stable,NA,NA
chaetodon trifascialis,Decreasing,3e-4,regr
chaetodon quadrimaculatus,Stable,NA,NA
heniochus monoceros,Stable,NA,NA
forcipiger longirostris,Unknown,NA,NA
hemitaurichthys thompsoni,Stable,NA,NA
heniochus chrysostomus,Stable,NA,NA
chaetodon bennetti,Stable,NA,NA
hemitaurichthys polylepis,Stable,NA,NA
chaetodon lunula,Stable,NA,NA
chaetodon ornatissimus,Unknown,NA,NA
chaetodon reticulatus,Stable,NA,NA
chaetodon mertensii,Stable,NA,NA
chaetodon trichrous,Stable,NA,NA
chaetodon lunulatus,Decreasing,3e-4,regr
heniochus varius,Stable,NA,NA
chaetodon ulietensis,Stable,NA,NA
forcipiger flavissimus,Stable,NA,NA
chaetodon unimaculatus,Stable,NA,NA
chaetodon rafflesii,Stable,NA,NA
chaetodon vagabundus,Stable,NA,NA
heniochus acuminatus,Stable,NA,NA
chaetodon pelewensis,Stable,NA,NA
euprotomicrus bispinatus,Unknown,0,lm
sphyrna lewini,Decreasing,0.03137,lm
carcharhinus amblyrhynchos,Unknown,0,lm
prionace glauca,Decreasing,-0,lm
negaprion acutidens,Decreasing,3e-4,regr
alopias pelagicus,Decreasing,0.02,lm
aetobatus narinari,Decreasing,3e-4,regr
carcharhinus leucas,Unknown,0,lm
carcharodon carcharias,Decreasing,0,lm
aetobatus ocellatus,Decreasing,3e-4,regr
triaenodon obesus,Unknown,0,lm
alopias vulpinus,Decreasing,0,lm
nebrius ferrugineus,Decreasing,3e-4,regr
gymnura poecilura,Decreasing,3e-4,regr
sphyrna mokarran,Decreasing,0.01667,lm
isurus paucus,Decreasing,0.01538,lm
pseudocarcharias kamoharai,Increasing,-0.0107,lm
galeocerdo cuvier,Decreasing,-0,lm
pteroplatytrygon violacea,Unknown,0,lm
megachasma pelagios,Unknown,0,lm
isurus oxyrinchus,Decreasing,0.02103,lm
mobula alfredi,Decreasing,0,lm
carcharhinus albimarginatus,Decreasing,0.02857,lm
carcharhinus limbatus,Unknown,-0.01278,lm
carcharhinus falciformis,Decreasing,0.01838,lm
carcharhinus galapagensis,Unknown,-0.0125,lm
mobula birostris,Decreasing,0,lm
rhincodon typus,Decreasing,0.01343,lm
carcharhinus longimanus,Decreasing,0.02523,lm
encrasicholina punctifer,Unknown,NA,NA
praealticus caesius,Stable,NA,NA
entomacrodus sealei,Stable,NA,NA
blenniella gibbifrons,Stable,NA,NA
blenniella chrysospilos,Stable,NA,NA
enneapterygius triserialis,Stable,NA,NA
enneapterygius nigricauda,Unknown,NA,NA
cirripectes fuscoguttatus,Stable,NA,NA
atrosalarias fuscus,Stable,NA,NA
entomacrodus decussatus,Stable,NA,NA
aspidontus taeniatus,Stable,NA,NA
atrosalarias holomelas,Unknown,NA,NA
aspidontus dussumieri,Stable,NA,NA
cirripectes variolosus,Stable,NA,NA
enneapterygius fuscoventer,Unknown,NA,NA
blenniella caudolineata,Stable,NA,NA
enchelyurus ater,Stable,NA,NA
entomacrodus caudofasciatus,Stable,NA,NA
norfolkia thomasi,Unknown,NA,NA
enneapterygius rhabdotus,Unknown,NA,NA
enneapterygius tutuilae,Unknown,NA,NA
helcogramma chica,Unknown,NA,NA
cirripectes jenningsi,Stable,NA,NA
blenniella paula,Stable,NA,NA
entomacrodus thalassinus,Stable,NA,NA
alticus arnoldorum,Stable,NA,NA
stanulus seychellensis,Stable,NA,NA
istiblennius edentulus,Stable,NA,NA
exallias brevis,Stable,NA,NA
enneapterygius pyramis,Unknown,NA,NA
cirripectes quagga,Stable,NA,NA
istiblennius lineatus,Stable,NA,NA
plagiotremus rhinorhynchos,Stable,NA,NA
plagiotremus tapeinosoma,Stable,NA,NA
entomacrodus striatus,Stable,NA,NA
petroscirtes xestus,Stable,NA,NA
conus planorbis,Unknown,NA,NA
conus miles,Unknown,NA,NA
conus coronatus,Unknown,NA,NA
conus pulicarius,NA,NA,NA
conus lividus,Unknown,NA,NA
conus pertusus,Unknown,NA,NA
conus ebraeus,Unknown,NA,NA
conus auricomus,Unknown,NA,NA
conus acutangulus,Unknown,NA,NA
conus bullatus,Unknown,NA,NA
conus sanguinolentus,Unknown,NA,NA
conus muriculatus,Unknown,NA,NA
conus bandanus,Unknown,NA,NA
conus circumcisus,Unknown,NA,NA
conus coffeae,Unknown,NA,NA
conus mitratus,Unknown,NA,NA
conus varius,Unknown,NA,NA
conus legatus,Unknown,NA,NA
conus tulipa,Unknown,NA,NA
conus vexillum,Unknown,NA,NA
conus quercinus,Unknown,NA,NA
conus armadillo,Unknown,NA,NA
conus obscurus,Unknown,NA,NA
conus eburneus,Unknown,NA,NA
conus aureus,Unknown,NA,NA
conus rattus,Unknown,NA,NA
conus retifer,Decreasing,3e-4,regr
conus imperialis,Unknown,NA,NA
conus striatus,Stable,NA,NA
conus canonicus,Unknown,NA,NA
conus textile,NA,NA,NA
conus catus,Unknown,NA,NA
conus nussatella,Unknown,NA,NA
conus generalis,Unknown,NA,NA
conus glans,Unknown,NA,NA
conus moreleti,Unknown,NA,NA
conus flavidus,Unknown,NA,NA
conus tessulatus,Stable,NA,NA
conus tenuistriatus,Unknown,NA,NA
conus episcopatus,Unknown,NA,NA
conus frigidus,Unknown,NA,NA
conus sponsalis,Stable,NA,NA
conus virgo,Unknown,NA,NA
conus cylindraceus,Unknown,NA,NA
conus emaciatus,Unknown,NA,NA
conus distans,Unknown,NA,NA
conus litteratus,Unknown,NA,NA
conus terebra,Unknown,NA,NA
conus arenatus,Unknown,NA,NA
conus aulicus,Unknown,NA,NA
conus geographus,Unknown,NA,NA
conus ferrugineus,Unknown,NA,NA
conus litoglyphus,Unknown,NA,NA
conus magnificus,Unknown,NA,NA
conus adamsonii,Unknown,NA,NA
conus chaldaeus,Unknown,NA,NA
conus leopardus,Unknown,NA,NA
goniopora somaliensis,Unknown,0,lm
leptastrea transversa,Decreasing,0,lm
montipora verrilli,Decreasing,3e-4,regr
leptoseris mycetoseroides,Unknown,0,lm
leptoseris scabra,Unknown,0,lm
montipora informis,Decreasing,0,lm
pavona cactus,Unknown,0,lm
acropora retusa,Decreasing,3e-4,regr
acropora tenuis,Decreasing,0,lm
favia pallida,Decreasing,0,lm
acropora clathrata,Decreasing,3e-4,regr
turbinaria frondens,Unknown,NA,NA
pavona frondifera,Unknown,0,lm
acropora cytherea,Decreasing,3e-4,regr
acropora rambleri,Decreasing,3e-4,regr
podabacia crustacea,Unknown,0,lm
fungia moluccensis,Unknown,NA,NA
astreopora myriophthalma,Decreasing,0,lm
montipora australiensis,Decreasing,3e-4,regr
leptoria phrygia,Decreasing,0,lm
alveopora allingi,Unknown,0,lm
acropora inermis,Decreasing,3e-4,regr
barabattoia laddi,Decreasing,0,lm
psammocora nierstraszi,Stable,NA,NA
acropora nana,Decreasing,3e-4,regr
acropora samoensis,Decreasing,0,lm
pachyseris speciosa,Unknown,0,lm
favia stelligera,Decreasing,0,lm
stylophora pistillata,Unknown,0,lm
acropora speciosa,Decreasing,3e-4,regr
plerogyra sinuosa,Unknown,0,lm
goniastrea australensis,Decreasing,0,lm
acropora glauca,Decreasing,3e-4,regr
acropora abrotanoides,Decreasing,0,lm
favia rotumana,Decreasing,0,lm
porites vaughani,Unknown,0,lm
pavona varians,Unknown,0,lm
psammocora haimeana,Unknown,0,lm
echinophyllia aspera,Unknown,0,lm
montipora angulata,Decreasing,3e-4,regr
acropora austera,Decreasing,3e-4,regr
pavona maldivensis,Unknown,0,lm
montipora venosa,Decreasing,0,lm
acropora humilis,Decreasing,0,lm
turbinaria reniformis,Unknown,0,lm
echinopora lamellosa,Decreasing,0,lm
favia favus,Decreasing,0,lm
montipora floweri,Decreasing,0,lm
acropora tortuosa,Decreasing,3e-4,regr
psammocora superficialis,Unknown,0,lm
acropora lutkeni,Decreasing,0,lm
montipora spumosa,Decreasing,3e-4,regr
acropora striata,Decreasing,0,lm
acropora latistella,Decreasing,3e-4,regr
merulina ampliata,Unknown,0,lm
montipora lobulata,Decreasing,0,lm
stylocoeniella armata,Unknown,0,lm
madracis kirbyi,Unknown,0,lm
favites complanata,Decreasing,3e-4,regr
montipora turgescens,Decreasing,3e-4,regr
acropora nasuta,Decreasing,0,lm
favites russelli,Decreasing,0,lm
acropora elseyi,Decreasing,3e-4,regr
acropora gemmifera,Decreasing,0,lm
montipora danae,Decreasing,0,lm
fungia scutaria,Unknown,0,lm
porites lutea,Unknown,0,lm
montipora effusa,Decreasing,3e-4,regr
platygyra pini,Decreasing,0,lm
fungia tenuis,Unknown,0,lm
montipora aequituberculata,Decreasing,0,lm
astreopora randalli,Decreasing,0,lm
mycedium elephantotus,Unknown,0,lm
acropora valida,Decreasing,0,lm
cyphastrea chalcidicum,Decreasing,0,lm
porites latistella,Unknown,NA,NA
barabattoia amicorum,Decreasing,0,lm
porites arnaudi,Unknown,NA,NA
pocillopora woodjonesi,Unknown,0,lm
montipora caliculata,Decreasing,0,lm
fungia sinensis,Unknown,0,lm
acropora hyacinthus,Decreasing,3e-4,regr
acropora vaughani,Decreasing,0,lm
fungia paumotensis,Unknown,0,lm
acropora sarmentosa,Decreasing,3e-4,regr
pocillopora eydouxi,Unknown,0,lm
pavona clavus,Unknown,0,lm
porites lobata,Unknown,0,lm
echinophyllia echinata,Unknown,0,lm
favia matthaii,Decreasing,0,lm
seriatopora hystrix,Unknown,0,lm
acropora granulosa,Decreasing,0,lm
fungia repanda,Unknown,0,lm
acropora formosa,Decreasing,0,lm
leptoseris solida,Unknown,0,lm
cyphastrea microphthalma,Decreasing,0,lm
ctenactis echinata,Unknown,0,lm
fungia horrida,Unknown,0,lm
millepora platyphylla,Unknown,NA,NA
lobophyllia hemprichii,Unknown,0,lm
fungia fungites,Unknown,0,lm
porites lichen,Unknown,0,lm
pavona duerdeni,Unknown,0,lm
acropora horrida,Decreasing,3e-4,regr
montipora verrucosa,Decreasing,0,lm
favia speciosa,Decreasing,3e-4,regr
scolymia vitiensis,Unknown,NA,NA
porites murrayensis,Unknown,0,lm
acropora nobilis,Decreasing,3e-4,regr
goniopora stutchburyi,Unknown,NA,NA
porites solida,Unknown,0,lm
acropora paniculata,Decreasing,3e-4,regr
leptoseris incrustans,Unknown,0,lm
acropora longicyathus,Decreasing,3e-4,regr
ctenactis crassa,Unknown,NA,NA
fungia scruposa,Unknown,0,lm
montipora foveolata,Decreasing,0,lm
coscinaraea exesa,Stable,NA,NA
herpolitha limax,Unknown,0,lm
acropora microphthalma,Decreasing,0,lm
montipora millepora,Decreasing,3e-4,regr
hydnophora microconos,Unknown,0,lm
pocillopora damicornis,Unknown,0,lm
platygyra daedalea,Decreasing,0,lm
turbinaria mesenterina,Unknown,0,lm
fungia concinna,Unknown,0,lm
echinopora gemmacea,Decreasing,3e-4,regr
leptastrea bottae,Decreasing,0,lm
goniastrea aspera,Decreasing,0,lm
platygyra sinensis,Decreasing,3e-4,regr
alveopora spongiosa,Unknown,0,lm
sandalolitha dentata,Unknown,0,lm
fungia distorta,Stable,NA,NA
coscinaraea columna,Unknown,0,lm
montipora tuberculosa,Decreasing,0,lm
montipora hoffmeisteri,Decreasing,0,lm
acropora robusta,Decreasing,0,lm
montipora hispida,Decreasing,3e-4,regr
goniastrea pectinata,Decreasing,0,lm
favites flexuosa,Decreasing,0,lm
leptastrea purpurea,Decreasing,0,lm
fungia granulosa,Unknown,0,lm
gardineroseris planulata,Unknown,0,lm
acropora globiceps,Decreasing,0,lm
psammocora profundacella,Unknown,0,lm
montipora efflorescens,Decreasing,0,lm
pocillopora elegans,Unknown,0,lm
acropora secale,Decreasing,0,lm
favites abdita,Decreasing,0,lm
acropora carduus,Decreasing,3e-4,regr
pavona explanulata,Unknown,0,lm
psammocora contigua,Unknown,0,lm
fungia scabra,Unknown,NA,NA
porites australiensis,Unknown,0,lm
alveopora verrilliana,Unknown,0,lm
cyphastrea serailia,Decreasing,0,lm
acropora loripes,Decreasing,0,lm
psammocora digitata,Unknown,0,lm
montipora foliosa,Decreasing,0,lm
pavona decussata,Unknown,0,lm
acropora digitifera,Decreasing,0,lm
psammocora explanulata,Unknown,NA,NA
galaxea fascicularis,Unknown,0,lm
leptoseris hawaiiensis,Unknown,0,lm
lobophyllia corymbosa,Unknown,0,lm
pocillopora verrucosa,Unknown,0,lm
acropora pulchra,Decreasing,3e-4,regr
goniopora minor,Unknown,0,lm
acanthastrea echinata,Unknown,0,lm
plesiastrea versipora,Decreasing,0,lm
pavona bipartita,Unknown,0,lm
fungia costulata,Unknown,0,lm
pocillopora capitata,Unknown,0,lm
montastrea curta,Decreasing,0,lm
acropora monticulosa,Decreasing,0,lm
stylocoeniella guentheri,Unknown,0,lm
pocillopora ligulata,Unknown,0,lm
abudefduf sordidus,Stable,NA,NA
chromis alpha,Stable,NA,NA
abudefduf vaigiensis,Stable,NA,NA
abudefduf septemfasciatus,Stable,NA,NA
abudefduf sexfasciatus,Stable,NA,NA
epinephelus polyphekadion,Decreasing,0.01667,lm
cephalopholis leopardus,Unknown,0,lm
plectropomus laevis,Unknown,-0.03784,lm
epinephelus tauvina,Unknown,NA,NA
hyporthodus octofasciatus,Unknown,NA,NA
cephalopholis igarashiensis,Unknown,NA,NA
cephalopholis argus,Stable,0,lm
cephalopholis polleni,Unknown,0,lm
cephalopholis spiloparaea,Unknown,0,lm
epinephelus hexagonatus,Stable,0,lm
epinephelus merra,Stable,0,lm
cephalopholis aurantia,Unknown,NA,NA
gracila albomarginata,Unknown,NA,NA
cephalopholis urodeta,Stable,0,lm
epinephelus morrhua,Stable,0,lm
epinephelus melanostigma,Unknown,NA,NA
epinephelus lanceolatus,Decreasing,0,lm
saloptia powelli,Unknown,NA,NA
epinephelus fasciatus,Unknown,0,lm
epinephelus socialis,Unknown,-0.02,lm
variola louti,Stable,0,lm
cephalopholis sexmaculata,Unknown,0,lm
epinephelus tuamotuensis,Unknown,0,lm
enoplometopus holthuisi,Unknown,NA,NA
panulirus longipes,Unknown,NA,NA
enoplometopus gracilipes,Unknown,NA,NA
arctides regalis,Unknown,NA,NA
pentacheles snyderi,Unknown,NA,NA
parribacus antarcticus,Unknown,NA,NA
panulirus femoristriga,Unknown,NA,NA
stereomastis auriculata,Unknown,NA,NA
galearctus aurora,Unknown,NA,NA
stereomastis suhmi,Unknown,NA,NA
peponocephala electra,Unknown,0,lm
steno bredanensis,Unknown,0,lm
kogia breviceps,Unknown,NA,NA
stenella coeruleoalba,Unknown,-0.01763,lm
balaenoptera bonaerensis,Unknown,-0.00909,lm
mesoplodon ginkgodens,Unknown,NA,NA
ziphius cavirostris,Unknown,NA,NA
orcinus orca,Unknown,NA,NA
physeter macrocephalus,Unknown,0,lm
tursiops truncatus,Unknown,0,lm
balaenoptera edeni,Unknown,NA,NA
kogia sima,Unknown,NA,NA
mesoplodon densirostris,Unknown,NA,NA
stenella longirostris,Unknown,-0.01818,lm
globicephala macrorhynchus,Unknown,-0.01818,lm
megaptera novaeangliae,Increasing,-0.01388,lm
balaenoptera borealis,Increasing,0.00532,lm
grampus griseus,Unknown,0,lm
balaenoptera musculus,Increasing,-0.00326,lm
lagenodelphis hosei,Unknown,0,lm
balaenoptera acutorostrata,Unknown,-0.00934,lm
pseudorca crassidens,Unknown,0.00909,lm
feresa attenuata,Unknown,NA,NA
stenella attenuata,Unknown,-0.01931,lm
sphoeroides pachygaster,Unknown,NA,NA
canthigaster rivulata,Unknown,NA,NA
canthigaster janthinoptera,Unknown,NA,NA
canthigaster amboinensis,Unknown,NA,NA
canthigaster solandri,Unknown,NA,NA
lagocephalus lagocephalus,Unknown,NA,NA
lagocephalus sceleratus,Unknown,NA,NA
canthigaster valentini,Decreasing,3e-4,regr
canthigaster bennetti,Unknown,NA,NA
arothron hispidus,Unknown,NA,NA
arothron stellatus,Unknown,NA,NA
arothron meleagris,Stable,NA,NA
eretmochelys imbricata,Decreasing,0.00926,lm
caretta caretta,Decreasing,8.6e-4,lm
hydrophis platurus,Stable,0,lm
chelonia mydas,Decreasing,0,lm
holothuria leucospilota,Unknown,NA,NA
stichopus chloronotus,Stable,NA,NA
holothuria fuscogilva,Decreasing,3e-4,regr
holothuria hilla,Unknown,NA,NA
stichopus monotuberculatus,Unknown,NA,NA
holothuria pervicax,Unknown,NA,NA
holothuria difficilis,Unknown,NA,NA
stichopus horrens,Unknown,NA,NA
holothuria flavomaculata,Unknown,NA,NA
actinopyga mauritiana,Decreasing,3e-4,regr
mesothuria multipora,Unknown,NA,NA
thelenota anax,Unknown,NA,NA
holothuria turriscelsa,Unknown,NA,NA
holothuria pardalis,Unknown,NA,NA
holothuria discrepans,Unknown,NA,NA
holothuria whitmaei,NA,NA,NA
holothuria olivacea,Unknown,NA,NA
holothuria glandifera,Unknown,NA,NA
holothuria impatiens,Unknown,NA,NA
holothuria edulis,Unknown,NA,NA
holothuria hawaiiensis,Stable,NA,NA
holothuria fuscocinerea,Unknown,NA,NA
bohadschia vitiensis,Decreasing,3e-4,regr
holothuria stocki,Unknown,NA,NA
bohadschia similis,Unknown,NA,NA
bohadschia argus,Stable,NA,NA
pearsonothuria graeffei,Unknown,NA,NA
holothuria atra,Stable,NA,NA
actinopyga miliaris,Decreasing,3e-4,regr
holothuria erinaceaus,Unknown,NA,NA
actinopyga varians,Unknown,NA,NA
holothuria verrucosa,Unknown,NA,NA
holothuria arenicola,Unknown,NA,NA
halophila decipiens,Stable,NA,NA
ctenochaetus binotatus,Stable,NA,NA
naso lituratus,Stable,NA,NA
acanthurus nigricauda,Stable,NA,NA
naso unicornis,Unknown,NA,NA
zebrasoma rostratum,Unknown,NA,NA
naso brevirostris,Stable,NA,NA
ctenochaetus hawaiiensis,Unknown,NA,NA
acanthurus triostegus,Stable,NA,NA
acanthurus xanthopterus,Stable,NA,NA
naso brachycentron,Stable,NA,NA
naso annulatus,Stable,NA,NA
acanthurus lineatus,Stable,NA,NA
naso vlamingii,Decreasing,0,lm
acanthurus guttatus,Unknown,NA,NA
ctenochaetus marginatus,Unknown,NA,NA
acanthurus thompsoni,Stable,NA,NA
acanthurus nigricans,Stable,NA,NA
acanthurus pyroferus,Stable,NA,NA
acanthurus olivaceus,Stable,NA,NA
acanthurus leucopareius,Stable,NA,NA
zebrasoma veliferum,Stable,NA,NA
naso caesius,Stable,NA,NA
zebrasoma scopas,Stable,NA,NA
acanthurus achilles,Stable,NA,NA
acanthurus blochii,Stable,NA,NA
ctenochaetus flavicauda,Unknown,NA,NA
acanthurus nigrofuscus,Stable,NA,NA
naso hexacanthus,Stable,NA,NA
acanthurus mata,Stable,NA,NA
acanthurus nubilus,Unknown,NA,NA
ctenochaetus striatus,Stable,NA,NA
dunckerocampus dactyliophorus,Decreasing,3e-4,regr
fistularia petimba,Unknown,NA,NA
fistularia commersonii,Unknown,NA,NA
microphis brachyurus,Unknown,0,lm
doryrhamphus excisus,Unknown,NA,NA
microphis argulus,Unknown,NA,NA
choeroichthys sculptus,Decreasing,3e-4,regr
corythoichthys flavofasciatus,Decreasing,3e-4,regr
corythoichthys nigripectus,Decreasing,3e-4,regr
cosmocampus howensis,Unknown,NA,NA
aulostomus chinensis,Unknown,NA,NA
micrognathus brevirostris,Decreasing,3e-4,regr
minyichthys myersi,Unknown,NA,NA
eurypegasus draconis,Unknown,NA,NA
gymnosarda unicolor,Unknown,NA,NA
katsuwonus pelamis,Stable,NA,NA
euthynnus affinis,Unknown,NA,NA
thunnus orientalis,Decreasing,0.13333,lm
thunnus albacares,Decreasing,0.01333,lm
makaira nigricans,Decreasing,3e-4,regr
tetrapturus angustirostris,Unknown,NA,NA
thunnus alalunga,Decreasing,3e-4,regr
xiphias gladius,Decreasing,3e-4,regr
kajikia audax,Decreasing,3e-4,regr
thunnus obesus,Decreasing,0,lm
istiophorus platypterus,Unknown,NA,NA
istiompax indica,Unknown,NA,NA
cheilinus trilobatus,Stable,NA,NA
anampses melanurus,Unknown,NA,NA
halichoeres marginatus,Unknown,NA,NA
cheilinus chlorourus,Unknown,NA,NA
wetmorella nigropinnata,Unknown,NA,NA
iniistius pentadactylus,Unknown,NA,NA
coris gaimard,Stable,NA,NA
novaculichthys taeniourus,Unknown,NA,NA
cirrhilabrus exquisitus,Unknown,NA,NA
pseudocheilinus hexataenia,Unknown,NA,NA
thalassoma amblycephalum,Unknown,NA,NA
cymolutes torquatus,Unknown,NA,NA
thalassoma hardwicke,Unknown,NA,NA
pseudojuloides atavai,Unknown,NA,NA
pseudocoris aurantiofasciata,Unknown,NA,NA
halichoeres hortulanus,Unknown,NA,NA
oxycheilinus unifasciatus,Unknown,NA,NA
thalassoma lutescens,Unknown,NA,NA
oxycheilinus arenatus,Unknown,NA,NA
epibulus insidiator,Unknown,NA,NA
thalassoma quinquevittatum,Unknown,NA,NA
oxycheilinus lineatus,Unknown,NA,NA
pseudocheilinus tetrataenia,Unknown,NA,NA
labropsis polynesica,Unknown,NA,NA
thalassoma purpureum,Unknown,NA,NA
polylepion russelli,Unknown,NA,NA
calotomus carolinus,Unknown,0,lm
cetoscarus ocellatus,Unknown,0,lm
scarus globiceps,Unknown,0,lm
scarus altipinnis,Unknown,0,lm
chlorurus microrhinos,Unknown,0,lm
scarus psittacus,Unknown,0,lm
scarus niger,Unknown,0,lm
scarus forsteni,Unknown,0,lm
scarus pyrrostethus,Unknown,0,lm
scarus oviceps,Unknown,0,lm
scarus schlegeli,Unknown,0,lm
pseudocheilinus ocellatus,Unknown,NA,NA
hemigymnus fasciatus,Unknown,NA,NA
cheilio inermis,Unknown,NA,NA
labroides dimidiatus,Unknown,NA,NA
stethojulis bandanensis,Unknown,NA,NA
halichoeres margaritaceus,Unknown,NA,NA
halichoeres trimaculatus,Unknown,NA,NA
stethojulis strigiventer,Unknown,NA,NA
bodianus axillaris,Unknown,NA,NA
oxycheilinus bimaculatus,Unknown,NA,NA
gomphosus varius,Unknown,NA,NA
wetmorella albofasciata,Unknown,NA,NA
halichoeres melasmapomus,Unknown,NA,NA
cirrhilabrus scottorum,Unknown,NA,NA
pseudocheilinus octotaenia,Unknown,NA,NA
pseudojuloides cerasinus,Unknown,NA,NA
cheilinus oxycephalus,Unknown,NA,NA
pseudocheilinus evanidus,Unknown,NA,NA
cymolutes praetextatus,Unknown,NA,NA
macropharyngodon meleagris,Unknown,NA,NA
hologymnosus annulatus,Unknown,NA,NA
halichoeres claudia,Unknown,NA,NA
iniistius pavo,Unknown,NA,NA
thalassoma trilobatum,Unknown,NA,NA
pseudodax moluccanus,Unknown,NA,NA
bodianus anthioides,Unknown,NA,NA
anampses caeruleopunctatus,Unknown,NA,NA
anampses meleagrides,Stable,NA,NA
labroides rubrolabiatus,Unknown,NA,NA
labroides bicolor,Unknown,NA,NA
xyrichtys halsteadi,Unknown,NA,NA
anampses twistii,Stable,NA,NA
coris aygula,Unknown,NA,NA
scarus tricolor,Unknown,0,lm
chlorurus spilurus,Unknown,0,lm
scarus rubroviolaceus,Unknown,0,lm
hipposcarus longiceps,Unknown,0,lm
scarus frenatus,Unknown,0,lm
leptoscarus vaigiensis,Unknown,0,lm
chlorurus frontalis,Stable,0,lm
circus approximans,Stable,0,lm
egretta sacra,Stable,0,lm
fregetta grallaria,Decreasing,0,lm
fregetta tropica,Decreasing,0,lm
thalassarche eremita,Stable,-0.03007,lm
gygis alba,Stable,0,lm
oceanites oceanicus,Stable,0,lm
nesofregetta fuliginosa,Decreasing,0.02277,lm
numenius tahitiensis,Decreasing,-0.00453,lm
onychoprion lunatus,Decreasing,0,lm
pelagodroma marina,Decreasing,0,lm
anous ceruleus,Stable,0,lm
pseudobulweria rostrata,Decreasing,0.00719,lm
pterodroma neglecta,Decreasing,0,lm
pterodroma alba,Decreasing,0.02328,lm
pterodroma cervicalis,Increasing,0.00752,lm
pterodroma heraldica,Decreasing,0,lm
puffinus bailloni,Stable,0,lm
puffinus nativitatis,Stable,0,lm
thalasseus bergii,Stable,0,lm
tringa incana,Stable,0,lm
zapornia tabuensis,Unknown,0,lm
pterodroma atrata,Decreasing,0,lm
hirundo tahitica,Unknown,NA,NA
procellaria parkinsoni,Stable,-0.00377,lm
pterodroma cookii,Increasing,-0.00404,lm
pterodroma inexpectata,Decreasing,0.00708,lm
pterodroma nigripennis,Decreasing,0,lm
pterodroma leucoptera,Decreasing,0.01442,lm
pterodroma ultima,Unknown,1.7e-4,lm
sula dactylatra,Decreasing,0,lm
sula leucogaster,Decreasing,0,lm
sula sula,Decreasing,0,lm
ardenna bulleri,Stable,0.01161,lm
pterodroma brevipes,Decreasing,0.01705,lm
phaethon rubricauda,Stable,0,lm
anas superciliosa,Unknown,0,lm
anous stolidus,Stable,0,lm
anous minutus,Stable,0,lm
arenaria interpres,Decreasing,0,lm
butorides striata,Decreasing,0,lm
fregata ariel,Decreasing,0,lm
phaethon lepturus,Decreasing,0,lm
ardenna pacifica,Decreasing,0,lm
ardenna tenuirostris,Decreasing,0,lm
fregata minor,Decreasing,0,lm
onychoprion fuscatus,Unknown,0,lm
